2025-05-01 20:27:30,681 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:46:13,557 INFO {'route': 'CHECK_TOKEN', 'event': 'VALID_TOKEN', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Valid token check', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:47:39,358 INFO {'route': 'CHECK_TOKEN', 'event': 'VALID_TOKEN', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Valid token check', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:47:39,489 INFO {'route': 'CHECK_TOKEN', 'event': 'VALID_TOKEN', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Valid token check', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:47:39,684 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:47:39,690 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:48:34,650 INFO {'route': 'FILE_UPLOAD', 'event': 'SUCCESSFUL_UPLOAD', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'File uploaded successfully', 'extra_data': {'filename': 'JagexLauncher.exe'}}
2025-05-01 20:48:34,706 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:48:43,332 INFO {'route': 'FILE_DOWNLOAD', 'event': 'SUCCESSFUL_DOWNLOAD', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'File downloaded successfully', 'extra_data': {'filename': 'JagexLauncher.exe'}}
2025-05-01 20:52:59,404 INFO {'route': 'FILE_UPLOAD', 'event': 'SUCCESSFUL_UPLOAD', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'File uploaded successfully', 'extra_data': {'filename': 'vk_swiftshader_icd.json'}}
2025-05-01 20:52:59,672 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:53:08,722 INFO {'route': 'CHECK_TOKEN', 'event': 'VALID_TOKEN', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Valid token check', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:53:09,030 INFO {'route': 'CHECK_TOKEN', 'event': 'VALID_TOKEN', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Valid token check', 'extra_data': {'mfa_enabled': False}}
2025-05-01 20:53:09,341 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:53:09,683 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:53:15,744 INFO {'route': 'FILE_UPLOAD', 'event': 'SUCCESSFUL_UPLOAD', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'File uploaded successfully', 'extra_data': {'filename': 'vk_swiftshader_icd.json'}}
2025-05-01 20:53:16,094 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
2025-05-01 20:57:26,935 INFO {'route': 'FILE_DELETE_ALL', 'event': 'SUCCESSFUL_DELETE_ALL', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'All files deleted successfully', 'extra_data': None}
2025-05-01 20:57:26,946 INFO {'route': 'FILE_LIST', 'event': 'SUCCESSFUL_LIST', 'user_id': 'e4c024de-f68b-421e-a9d2-04872bb8e61b', 'message': 'Files listed successfully', 'extra_data': None}
